name,position,record,team,year
Bob Sutton,Defensive Coordinator,11-5-0,kan,2014
Andy Reid,Head Coach,9-7-0,kan,2014
Doug Pederson,Offensive Coordinator,9-7-0,kan,2014
Eric Bieniemy,Running Backs,9-7-0,kan,2014
Bob Sutton,Defensive Coordinator,9-7-0,kan,2015
Doug Pederson,Offensive Coordinator,9-7-0,kan,2015
Andy Reid,Head Coach,11-5-0,kan,2015
Eric Bieniemy,Running Backs,11-5-0,kan,2015
Brad Childress,Offensive Coordinator,11-5-0,kan,2016
Andy Reid,Head Coach,12-4-0,kan,2016
Bob Sutton,Defensive Coordinator,12-4-0,kan,2016
Eric Bieniemy,Running Backs,12-4-0,kan,2016
Bob Sutton,Defensive Coordinator,12-4-0,kan,2017
Andy Reid,Head Coach,10-6-0,kan,2017
Eric Bieniemy,Running Backs,10-6-0,kan,2017
Matt Nagy,Offensive Coordinator,10-6-0,kan,2017
Bob Sutton,Defensive Coordinator,10-6-0,kan,2018
Andy Reid,Head Coach,12-4-0,kan,2018
Mike Kafka,Quarterbacks,12-4-0,kan,2018
Emmitt Thomas,Defensive Backs,12-4-0,kan,2018
Eric Bieniemy,Offensive Coordinator,12-4-0,kan,2018
Steve Spagnuolo,Defensive Coordinator,12-4-0,kan,2019
Andy Reid,Head Coach,12-4-0,kan,2019
Mike Kafka,Quarterbacks,12-4-0,kan,2019
Eric Bieniemy,Offensive Coordinator,12-4-0,kan,2019
Mike Kafka,Quarterbacks/PGC,12-4-0,kan,2020
Steve Spagnuolo,Defensive Coordinator,12-4-0,kan,2020
Andy Reid,Head Coach,14-2-0,kan,2020
Eric Bieniemy,Offensive Coordinator,14-2-0,kan,2020
Steve Spagnuolo,Defensive Coordinator,14-2-0,kan,2021
Andy Reid,Head Coach,12-5-0,kan,2021
Ken Flajole,Outside Linebackers,12-5-0,kan,2021
Mike Kafka,Quarterbacks/PGC,12-5-0,kan,2021
Eric Bieniemy,Offensive Coordinator,12-5-0,kan,2021
Steve Spagnuolo,Defensive Coordinator,12-5-0,kan,2022
Joe Cullen,Defensive Line,12-5-0,kan,2022
Ken Flajole,Outside Linebackers,12-5-0,kan,2022
Matt Nagy,Quarterbacks,12-5-0,kan,2022
Andy Reid,Head Coach,14-3-0,kan,2022
Eric Bieniemy,Offensive Coordinator,14-3-0,kan,2022
Steve Spagnuolo,Defensive Coordinator,14-3-0,kan,2023
Joe Cullen,Defensive Line,14-3-0,kan,2023
Ken Flajole,Outside Linebackers,14-3-0,kan,2023
Matt Nagy,Offensive Coordinator,14-3-0,kan,2023
Andy Reid,Head Coach,11-6-0,kan,2023
Eddie Erdelatz,Head Coach,6-8-0,rai,1960
Marty Feldman,Line Coach,6-8-0,rai,1960
George Dickson,Defensive Backs,6-8-0,rai,1961
Eddie Erdelatz,Head Coach,0-2-0,rai,1961
Marty Feldman,Head Coach,0-5-0,rai,1962
Walt Michaels,Defensive Line,0-5-0,rai,1962
Al Davis,Head Coach,10-4-0,rai,1963
John Rauch,Offensive Backfield,10-4-0,rai,1963
Charlie Sumner,Defensive Backfield,10-4-0,rai,1963
John Rauch,Offensive Backfield,10-4-0,rai,1964
Charlie Sumner,Defensive Backfield,10-4-0,rai,1964
Al Davis,Head Coach,5-7-2,rai,1964
Al Davis,Head Coach,8-5-1,rai,1965
John Rauch,Offensive Backfield,8-5-1,rai,1965
Charlie Sumner,Defensive Backfield,8-5-1,rai,1965
John Rauch,Head Coach,8-5-1,rai,1966
Charlie Sumner,Defensive Backfield,8-5-1,rai,1966
Bill Walsh,Offensive Backfield,8-5-1,rai,1966
John Madden,Linebackers,8-5-1,rai,1967
Charlie Sumner,Defensive Backfield,8-5-1,rai,1967
John Rauch,Head Coach,13-1-0,rai,1967
John Madden,Linebackers,13-1-0,rai,1968
Charlie Sumner,Defensive Backfield,13-1-0,rai,1968
John Rauch,Head Coach,12-2-0,rai,1968
John Madden,Head Coach,12-1-1,rai,1969
Richie McCabe,Defensive Backs,12-1-1,rai,1969
Dick Wood,Receivers,12-1-1,rai,1969
Richie McCabe,Defensive Backs,12-1-1,rai,1970
Dick Wood,Receivers,12-1-1,rai,1970
John Madden,Head Coach,8-4-2,rai,1970
Mike Holovak,Receivers,8-4-2,rai,1971
Ray Malavasi,Linebackers,8-4-2,rai,1971
Bob Zeman,Defensive Backs,8-4-2,rai,1971
John Madden,Head Coach,8-4-2,rai,1971
Tom Flores,Receivers,8-4-2,rai,1972
John Madden,Head Coach,10-3-1,rai,1972
John Madden,Head Coach,9-4-1,rai,1973
Tom Flores,Receivers,9-4-1,rai,1973
Tom Flores,Receivers,9-4-1,rai,1974
John Madden,Head Coach,12-2-0,rai,1974
Tom Flores,Receivers,12-2-0,rai,1975
John Madden,Head Coach,11-3-0,rai,1975
John Madden,Head Coach,13-1-0,rai,1976
Lew Erber,Running Backs,13-1-0,rai,1976
Lew Erber,Running Backs,13-1-0,rai,1977
John Madden,Head Coach,11-3-0,rai,1977
John Madden,Head Coach,9-7-0,rai,1978
Lew Erber,Running Backs,9-7-0,rai,1978
Tom Flores,Receivers,9-7-0,rai,1978
Ray Willsey,Defensive Backs,9-7-0,rai,1978
Charlie Sumner,Defensive Coordinator,9-7-0,rai,1979
Tom Flores,Head Coach,9-7-0,rai,1979
Sam Boghosian,Offensive Line,9-7-0,rai,1979
Lew Erber,Receivers,9-7-0,rai,1979
Ray Willsey,Running Backs,9-7-0,rai,1979
Charlie Sumner,Defensive Coordinator,9-7-0,rai,1980
Tom Flores,Head Coach,11-5-0,rai,1980
Sam Boghosian,Offensive Line,11-5-0,rai,1980
Tom Flores,Head Coach,7-9-0,rai,1981
Charlie Sumner,Defensive Coordinator,7-9-0,rai,1981
Sam Boghosian,Offensive Line,7-9-0,rai,1981
Charlie Sumner,Defensive Coordinator,7-9-0,rai,1982
Tom Flores,Head Coach,8-1-0,rai,1982
Sam Boghosian,Offensive Line,8-1-0,rai,1982
Charlie Sumner,Defensive Coordinator,8-1-0,rai,1983
Tom Flores,Head Coach,12-4-0,rai,1983
Sam Boghosian,Offensive Line,12-4-0,rai,1983
Sam Boghosian,Offensive Line,12-4-0,rai,1984
Tom Flores,Head Coach,11-5-0,rai,1984
Tom Flores,Head Coach,12-4-0,rai,1985
Sam Boghosian,Offensive Line,12-4-0,rai,1985
Sam Boghosian,Offensive Line,12-4-0,rai,1986
Tom Flores,Head Coach,8-8-0,rai,1986
Charlie Sumner,Defensive Coordinator,8-8-0,rai,1987
Tom Flores,Head Coach,5-10-0,rai,1987
Sam Boghosian,Offensive Line,5-10-0,rai,1987
Charlie Sumner,Defensive Coordinator,5-10-0,rai,1988
Nick Nicolau,Wide Receivers,5-10-0,rai,1988
Mike Shanahan,Head Coach,7-9-0,rai,1988
Dave Adolph,Defensive Coordinator,7-9-0,rai,1989
Mike Shanahan,Head Coach,1-3-0,rai,1989
Joe Scannella,Running Backs,1-3-0,rai,1989
Tom Walsh,Quarterbacks/WR,1-3-0,rai,1989
Terry Robiskie,Offensive Coordinator,1-3-0,rai,1989
Tom Walsh,Offensive Coordinator,1-3-0,rai,1989
Joe Scannella,Running Backs,1-3-0,rai,1990
Tom Walsh,Quarterbacks/WR,1-3-0,rai,1990
Mike White,Quarterbacks/OL,1-3-0,rai,1990
Art Shell,Head Coach,12-4-0,rai,1990
Dave Adolph,Defensive Coordinator,12-4-0,rai,1990
Terry Robiskie,Offensive Coordinator,12-4-0,rai,1990
Art Shell,Head Coach,9-7-0,rai,1991
Dave Adolph,Defensive Coordinator,9-7-0,rai,1991
Terry Robiskie,Offensive Coordinator,9-7-0,rai,1991
Gunther Cunningham,Linebackers,9-7-0,rai,1991
Ronnie Jones,Linebackers,9-7-0,rai,1992
Joe Scannella,Running Backs,9-7-0,rai,1992
Mike White,Quarterbacks/OL,9-7-0,rai,1992
Art Shell,Head Coach,7-9-0,rai,1992
Gunther Cunningham,Defensive Coordinator,7-9-0,rai,1992
Terry Robiskie,Offensive Coordinator,7-9-0,rai,1992
Tom Walsh,Offensive Coordinator,7-9-0,rai,1992
Tom Walsh,Offensive Coordinator,7-9-0,rai,1993
Gunther Cunningham,Defensive Coordinator,7-9-0,rai,1993
Art Shell,Head Coach,10-6-0,rai,1993
Jim Haslett,Linebackers,10-6-0,rai,1993
Joe Scannella,Running Backs,10-6-0,rai,1993
Mike White,Quarterbacks/OL,10-6-0,rai,1993
Art Shell,Head Coach,9-7-0,rai,1994
Tom Walsh,Offensive Coordinator,9-7-0,rai,1994
John Fox,Defensive Coordinator,9-7-0,rai,1994
Jim Haslett,Linebackers,9-7-0,rai,1994
Jack Reilly,Running Backs,9-7-0,rai,1994
Mike White,Quarterbacks/OL,9-7-0,rai,1994
Mike White,Head Coach,8-8-0,rai,1995
Floyd Peters,Defensive Line,8-8-0,rai,1995
Fred Whittingham,Linebackers,8-8-0,rai,1995
Joe Bugel,Offensive Coordinator,8-8-0,rai,1995
John Fox,Defensive Coordinator,8-8-0,rai,1995
Joe Bugel,Offensive Coordinator,8-8-0,rai,1996
Larry Kennan,Quarterbacks,8-8-0,rai,1996
Floyd Peters,Defensive Line,8-8-0,rai,1996
Fred Whittingham,Defensive Coordinator,8-8-0,rai,1996
Mike White,Head Coach,7-9-0,rai,1996
Dave Adolph,Linebackers,7-9-0,rai,1997
Ray Perkins,Offensive Coordinator,7-9-0,rai,1997
Fred Whittingham,Defensive Coordinator,7-9-0,rai,1997
Joe Bugel,Head Coach,4-12-0,rai,1997
Jon Gruden,Head Coach,8-8-0,rai,1998
Dave Adolph,Linebackers,8-8-0,rai,1998
Willie Shaw,Defensive Coordinator,8-8-0,rai,1998
Bill Callahan,Offensive Coordinator,8-8-0,rai,1998
Jon Gruden,Head Coach,8-8-0,rai,1999
Chuck Bresnahan,Defensive Backs,8-8-0,rai,1999
Gary Stevens,Quarterbacks,8-8-0,rai,1999
Willie Shaw,Defensive Coordinator,8-8-0,rai,1999
Bill Callahan,Offensive Coordinator,8-8-0,rai,1999
Ron Lynn,Defensive Backs,8-8-0,rai,2000
Gary Stevens,Quarterbacks,8-8-0,rai,2000
Jon Gruden,Head Coach,12-4-0,rai,2000
Chuck Bresnahan,Defensive Coordinator,12-4-0,rai,2000
Bill Callahan,Offensive Coordinator,12-4-0,rai,2000
Jon Gruden,Head Coach,10-6-0,rai,2001
Aaron Kromer,Asst. OL,10-6-0,rai,2001
Chuck Bresnahan,Defensive Coordinator,10-6-0,rai,2001
Bill Callahan,Offensive Coordinator,10-6-0,rai,2001
Jim Harbaugh,Quarterbacks,10-6-0,rai,2002
Marc Trestman,Offensive Coordinator,10-6-0,rai,2002
Bill Callahan,Head Coach,11-5-0,rai,2002
Chuck Bresnahan,Defensive Coordinator,11-5-0,rai,2002
Bill Callahan,Head Coach,4-12-0,rai,2003
Marc Trestman,Offensive Coordinator,4-12-0,rai,2003
Jim Harbaugh,Quarterbacks,4-12-0,rai,2003
Chuck Bresnahan,Defensive Coordinator,4-12-0,rai,2003
Jimmy Raye,Offensive Coordinator,4-12-0,rai,2004
Rob Ryan,Defensive Coordinator,4-12-0,rai,2004
Aaron Kromer,Offensive Line,4-12-0,rai,2004
Norv Turner,Head Coach,5-11-0,rai,2004
Norv Turner,Head Coach,4-12-0,rai,2005
Jimmy Raye,Offensive Coordinator,4-12-0,rai,2005
Rob Ryan,Defensive Coordinator,4-12-0,rai,2005
Don Martindale,Inside Linebackers,4-12-0,rai,2005
John Shoop,Offensive Coordinator,4-12-0,rai,2006
Tom Walsh,Offensive Coordinator,4-12-0,rai,2006
Art Shell,Head Coach,2-14-0,rai,2006
Don Martindale,Linebackers,2-14-0,rai,2006
Keith Millard,Defensive Line,2-14-0,rai,2006
Chuck Pagano,Secondary,2-14-0,rai,2006
Rob Ryan,Defensive Coordinator,2-14-0,rai,2006
Greg Knapp,Offensive Coordinator,2-14-0,rai,2007
Rob Ryan,Defensive Coordinator,2-14-0,rai,2007
Lane Kiffin,Head Coach,4-12-0,rai,2007
Tom Cable,Offensive Line,4-12-0,rai,2007
Lane Kiffin,Head Coach,1-3-0,rai,2008
Greg Knapp,Offensive Coordinator,1-3-0,rai,2008
Rob Ryan,Defensive Coordinator,1-3-0,rai,2008
Tom Cable,Offensive Line/Interim Head Coach,1-3-0,rai,2008
Tom Cable,Head Coach,5-11-0,rai,2009
John Fassel,Special Teams Coordinator,5-11-0,rai,2009
John Marshall,Defensive Coordinator,5-11-0,rai,2009
Tom Cable,Head Coach,8-8-0,rai,2010
Hue Jackson,Offensive Coordinator,8-8-0,rai,2010
John Fassel,Special Teams Coordinator,8-8-0,rai,2010
Paul Hackett,Quarterbacks,8-8-0,rai,2010
Ted Tollner,Passing Game Coordinator,8-8-0,rai,2010
John Marshall,Defensive Coordinator,8-8-0,rai,2010
John Fassel,Special Teams Coordinator,8-8-0,rai,2011
Hue Jackson,Head Coach,8-8-0,rai,2011
Al Saunders,Offensive Coordinator,8-8-0,rai,2011
Chuck Bresnahan,Defensive Coordinator,8-8-0,rai,2011
Greg Knapp,Offensive Coordinator,8-8-0,rai,2012
Jason Tarver,Defensive Coordinator,8-8-0,rai,2012
John DeFilippo,Quarterbacks,8-8-0,rai,2012
Dennis Allen,Head Coach,4-12-0,rai,2012
Greg Olson,Offensive Coordinator,4-12-0,rai,2013
John DeFilippo,Quarterbacks,4-12-0,rai,2013
Jason Tarver,Defensive Coordinator,4-12-0,rai,2013
Dennis Allen,Head Coach,4-12-0,rai,2013
Greg Olson,Offensive Coordinator,4-12-0,rai,2014
John DeFilippo,Quarterbacks,4-12-0,rai,2014
Jason Tarver,Defensive Coordinator,4-12-0,rai,2014
Dennis Allen,Head Coach,0-4-0,rai,2014
Bill Musgrave,Offensive Coordinator,0-4-0,rai,2015
Todd Downing,Quarterbacks,0-4-0,rai,2015
Nick Holz,Off. Quality Control,0-4-0,rai,2015
Mike Tice,Offensive Line,0-4-0,rai,2015
Jack Del Rio,Head Coach,7-9-0,rai,2015
Ken Norton,Defensive Coordinator,7-9-0,rai,2015
Bill Musgrave,Offensive Coordinator,7-9-0,rai,2016
Todd Downing,Quarterbacks,7-9-0,rai,2016
Nick Holz,Off. Quality Control,7-9-0,rai,2016
Mike Tice,Offensive Line,7-9-0,rai,2016
Jack Del Rio,Head Coach,12-4-0,rai,2016
Ken Norton,Defensive Coordinator,12-4-0,rai,2016
Todd Downing,Offensive Coordinator,12-4-0,rai,2017
Ken Norton,Defensive Coordinator,12-4-0,rai,2017
John Pagano,Defensive Coordinator,12-4-0,rai,2017
Jack Del Rio,Head Coach,6-10-0,rai,2017
Nick Holz,Asst. Wide Receivers,6-10-0,rai,2017
John Pagano,Assistant Head Coach/Defense,6-10-0,rai,2017
Mike Tice,Offensive Line,6-10-0,rai,2017
Greg Olson,Offensive Coordinator,6-10-0,rai,2018
Derrick Ansley,Defensive Backs,6-10-0,rai,2018
Paul Guenther,Defensive Coordinator,6-10-0,rai,2018
Jon Gruden,Head Coach,4-12-0,rai,2018
Greg Olson,Offensive Coordinator,4-12-0,rai,2019
Edgar Bennett,Wide Receivers,4-12-0,rai,2019
Paul Guenther,Defensive Coordinator,4-12-0,rai,2019
Jon Gruden,Head Coach,7-9-0,rai,2019
Jon Gruden,Head Coach,8-8-0,rai,2020
Edgar Bennett,Wide Receivers,8-8-0,rai,2020
Paul Guenther,Defensive Coordinator,8-8-0,rai,2020
Rod Marinelli,Defensive Coordinator,8-8-0,rai,2020
Greg Olson,Offensive Coordinator,8-8-0,rai,2020
Greg Olson,Offensive Coordinator,8-8-0,rai,2021
Jon Gruden,Head Coach,3-2-0,rai,2021
Edgar Bennett,Wide Receivers,3-2-0,rai,2021
Gus Bradley,Defensive Coordinator,3-2-0,rai,2021
Mick Lombardi,Offensive Coordinator,3-2-0,rai,2022
Edgar Bennett,Wide Receivers,3-2-0,rai,2022
Josh McDaniels,Head Coach,6-11-0,rai,2022
Patrick Graham,Defensive Coordinator,6-11-0,rai,2022
Patrick Graham,Defensive Coordinator,6-11-0,rai,2023
Bo Hardegree,Offensive Coordinator,6-11-0,rai,2023
Mick Lombardi,Offensive Coordinator,6-11-0,rai,2023
Edgar Bennett,Wide Receivers,6-11-0,rai,2023
Josh McDaniels,Head Coach,3-5-0,rai,2023
Sid Gillman,Head Coach,10-4-0,sdg,1960
Al Davis,Offensive Assistant,10-4-0,sdg,1960
Jack Faulkner,Defensive Backs,10-4-0,sdg,1960
Chuck Noll,Defensive Line,10-4-0,sdg,1960
Al Davis,Offensive Assistant,10-4-0,sdg,1961
Jack Faulkner,Defensive Backs,10-4-0,sdg,1961
Chuck Noll,Defensive Line,10-4-0,sdg,1961
Sid Gillman,Head Coach,12-2-0,sdg,1961
Al Davis,Offensive Assistant,12-2-0,sdg,1962
Chuck Noll,Defensive Backfield,12-2-0,sdg,1962
Sid Gillman,Head Coach,4-10-0,sdg,1962
Sid Gillman,Head Coach,11-3-0,sdg,1963
Hugh Taylor,Offensive Coordinator,11-3-0,sdg,1963
Chuck Noll,Defensive Backfield,11-3-0,sdg,1963
Tom Bass,Offensive Backfield,11-3-0,sdg,1964
Chuck Noll,Defensive Backfield,11-3-0,sdg,1964
Sid Gillman,Head Coach,8-5-1,sdg,1964
Sid Gillman,Head Coach,9-2-3,sdg,1965
Tom Bass,Offensive Backfield,9-2-3,sdg,1965
Chuck Noll,Defensive Backfield,9-2-3,sdg,1965
Sid Gillman,Head Coach,7-6-1,sdg,1966
Tom Bass,Defensive Backs,7-6-1,sdg,1966
Charlie Waller,Offensive Backfield,7-6-1,sdg,1966
Bum Phillips,Defensive Line,7-6-1,sdg,1968
Sid Gillman,Head Coach,9-5-0,sdg,1968
Jackie Simpson,Linebackers,9-5-0,sdg,1969
Chuck Weber,Defensive Backfield,9-5-0,sdg,1969
Bum Phillips,Defensive Coordinator,9-5-0,sdg,1969
Sid Gillman,Head Coach,4-5-0,sdg,1969
Hal Herring,Linebackers,4-5-0,sdg,1970
Jackie Simpson,Defensive Backs,4-5-0,sdg,1970
Bum Phillips,Defensive Coordinator,4-5-0,sdg,1970
Charlie Waller,Head Coach,5-6-3,sdg,1970
Harland Svare,Head Coach,2-2-0,sdg,1971
Phil Bengtson,Defensive Coordinator,2-2-0,sdg,1971
Charlie Waller,Offensive Coordinator,2-2-0,sdg,1971
Bum Phillips,Defensive Line,2-2-0,sdg,1971
Jackie Simpson,Defensive Backs,2-2-0,sdg,1971
Harland Svare,Head Coach,4-9-1,sdg,1972
Bob Schnelker,Offensive Coordinator,4-9-1,sdg,1972
George Dickson,Offensive Backs,4-9-1,sdg,1972
Ron Waller,Special Teams,4-9-1,sdg,1972
Harland Svare,Head Coach,1-6-1,sdg,1973
Bob Schnelker,Offensive Coordinator,1-6-1,sdg,1973
George Dickson,Offensive Backs,1-6-1,sdg,1973
Forrest Gregg,Offensive Line,1-6-1,sdg,1973
John David Crow,Offensive Coordinator,1-6-1,sdg,1974
George Dickson,Linebackers,1-6-1,sdg,1974
Tommy Prothro,Head Coach,5-9-0,sdg,1974
Jackie Simpson,Defensive Coordinator,5-9-0,sdg,1974
John David Crow,Offensive Coordinator,5-9-0,sdg,1975
Tommy Prothro,Head Coach,2-12-0,sdg,1975
Jackie Simpson,Defensive Coordinator,2-12-0,sdg,1975
Dick Coury,Linebackers,2-12-0,sdg,1975
George Dickson,Special Teams,2-12-0,sdg,1975
Jackie Simpson,Defensive Coordinator,2-12-0,sdg,1976
Bill Walsh,Offensive Coordinator,2-12-0,sdg,1976
Ernie Zampese,Secondary,2-12-0,sdg,1976
Tommy Prothro,Head Coach,6-8-0,sdg,1976
Jackie Simpson,Defensive Coordinator,6-8-0,sdg,1977
Jerry Smith,Defensive Line,6-8-0,sdg,1977
Larrye Weaver,Defensive Backs,6-8-0,sdg,1977
Tommy Prothro,Head Coach,7-7-0,sdg,1977
Max Coley,Offensive Coordinator,7-7-0,sdg,1977
Jackie Simpson,Defensive Coordinator,7-7-0,sdg,1978
Jerry Smith,Defensive Line,7-7-0,sdg,1978
Larrye Weaver,Defensive Backs,7-7-0,sdg,1978
Tommy Prothro,Head Coach,1-3-0,sdg,1978
Ray Perkins,Offensive Coordinator,1-3-0,sdg,1978
Jackie Simpson,Defensive Coordinator,1-3-0,sdg,1979
Don Coryell,Head Coach,12-4-0,sdg,1979
Joe Gibbs,Offensive Coordinator,12-4-0,sdg,1979
Jim Hanifan,Asst. HC/Offensive Line,12-4-0,sdg,1979
Jackie Simpson,Defensive Coordinator,12-4-0,sdg,1980
Joe Gibbs,Offensive Coordinator,12-4-0,sdg,1980
Dave Levy,Offensive Line,12-4-0,sdg,1980
Don Coryell,Head Coach,11-5-0,sdg,1980
Jack Pardee,Defensive Coordinator,11-5-0,sdg,1981
Don Coryell,Head Coach,10-6-0,sdg,1981
Larrye Weaver,Offensive Coordinator,10-6-0,sdg,1981
Dave Levy,Offensive Line,10-6-0,sdg,1981
Jerry Smith,Defensive Line,10-6-0,sdg,1981
Ernie Zampese,Wide Receivers,10-6-0,sdg,1981
Tom Bass,Defensive Coordinator,10-6-0,sdg,1982
Dave Levy,Offensive Line,10-6-0,sdg,1982
Larrye Weaver,Offensive Coordinator,10-6-0,sdg,1982
Don Coryell,Head Coach,6-3-0,sdg,1982
Don Coryell,Head Coach,6-10-0,sdg,1983
Tom Bass,Defensive Coordinator,6-10-0,sdg,1983
Dave Levy,Offensive Coordinator,6-10-0,sdg,1983
Al Saunders,Wide Receivers,6-10-0,sdg,1983
Tom Bass,Defensive Coordinator,6-10-0,sdg,1984
Dave Levy,Offensive Coordinator,6-10-0,sdg,1984
Al Saunders,Wide Receivers,6-10-0,sdg,1984
Don Coryell,Head Coach,7-9-0,sdg,1984
Dave Adolph,Defensive Coordinator,7-9-0,sdg,1985
Tom Bass,Defensive Coordinator,7-9-0,sdg,1985
Don Coryell,Head Coach,8-8-0,sdg,1985
Dave Levy,Offensive Coordinator,8-8-0,sdg,1985
Gunther Cunningham,Defensive Line,8-8-0,sdg,1985
Don Coryell,Head Coach,1-7-0,sdg,1986
Gunther Cunningham,Defensive Line,1-7-0,sdg,1986
Dave Levy,Offensive Line,1-7-0,sdg,1986
Jim Mora,Defensive Assistant/Secondary,1-7-0,sdg,1986
Ernie Zampese,Offensive Coordinator,1-7-0,sdg,1986
Ron Lynn,Defensive Coordinator,1-7-0,sdg,1986
Al Saunders,Head Coach,8-7-0,sdg,1987
Dave Levy,Offensive Coordinator,8-7-0,sdg,1987
Ron Lynn,Defensive Coordinator,8-7-0,sdg,1987
Gunther Cunningham,Defensive Line,8-7-0,sdg,1987
Bobby Jackson,Running Backs,8-7-0,sdg,1987
Jim Mora,Defensive Assistant/Secondary,8-7-0,sdg,1987
Jerry Rhome,Offensive Coordinator,8-7-0,sdg,1988
Gunther Cunningham,Defensive Line,8-7-0,sdg,1988
Al Saunders,Head Coach,6-10-0,sdg,1988
Ron Lynn,Defensive Coordinator,6-10-0,sdg,1988
Dan Henning,Head Coach,6-10-0,sdg,1989
Larry Beightol,Offensive Coordinator,6-10-0,sdg,1989
Ron Lynn,Defensive Coordinator,6-10-0,sdg,1989
Gunther Cunningham,Defensive Line,6-10-0,sdg,1989
Dan Henning,Head Coach,6-10-0,sdg,1990
Gunther Cunningham,Defensive Line,6-10-0,sdg,1990
Ron Lynn,Defensive Coordinator,6-10-0,sdg,1990
Bobby Jackson,Running Backs,6-10-0,sdg,1991
Ted Tollner,Offensive Coordinator,6-10-0,sdg,1991
Ron Lynn,Defensive Coordinator,6-10-0,sdg,1991
Dan Henning,Head Coach,4-12-0,sdg,1991
Bill Arnsparger,Defensive Coordinator,4-12-0,sdg,1992
Bobby Ross,Head Coach,11-5-0,sdg,1992
Sylvester Croom,Running Backs,11-5-0,sdg,1992
Bill Arnsparger,Defensive Coordinator,11-5-0,sdg,1993
Bobby Ross,Head Coach,8-8-0,sdg,1993
Sylvester Croom,Running Backs,8-8-0,sdg,1993
Bill Arnsparger,Defensive Coordinator,8-8-0,sdg,1994
Bobby Ross,Head Coach,11-5-0,sdg,1994
Ralph Friedgen,Offensive Coordinator,11-5-0,sdg,1994
Sylvester Croom,Running Backs,11-5-0,sdg,1994
Dave Adolph,Defensive Coordinator,11-5-0,sdg,1995
Bobby Ross,Head Coach,9-7-0,sdg,1995
Ralph Friedgen,Offensive Coordinator,9-7-0,sdg,1995
Sylvester Croom,Running Backs,9-7-0,sdg,1995
Dale Lindsey,Linebackers,9-7-0,sdg,1995
Jerry Sullivan,Wide Receivers,9-7-0,sdg,1995
Dave Adolph,Defensive Coordinator,9-7-0,sdg,1996
Ralph Friedgen,Offensive Coordinator,9-7-0,sdg,1996
Bobby Ross,Head Coach,8-8-0,sdg,1996
Sylvester Croom,Running Backs,8-8-0,sdg,1996
Dale Lindsey,Linebackers,8-8-0,sdg,1996
Jerry Sullivan,Wide Receivers,8-8-0,sdg,1996
Joe Pascale,Defensive Coordinator,8-8-0,sdg,1997
Kevin Gilbride,Head Coach,4-12-0,sdg,1997
Mike Sheppard,Offensive Coordinator,4-12-0,sdg,1997
Nick Nicolau,Assistant Head Coach,4-12-0,sdg,1997
Jim Vechiarella,Linebackers,4-12-0,sdg,1997
Joe Pascale,Defensive Coordinator,4-12-0,sdg,1998
Joe Bugel,Offensive Line,4-12-0,sdg,1998
Nick Nicolau,Assistant Head Coach,4-12-0,sdg,1998
Jim Vechiarella,Linebackers,4-12-0,sdg,1998
Kevin Gilbride,Head Coach,2-4-0,sdg,1998
Mike Sheppard,Offensive Coordinator,2-4-0,sdg,1998
Joe Pascale,Defensive Coordinator,2-4-0,sdg,1999
Mark Banker,Cornerbacks,2-4-0,sdg,1999
Joe Bugel,Offensive Line,2-4-0,sdg,1999
Jim Vechiarella,Linebackers,2-4-0,sdg,1999
Mike Riley,Head Coach,8-8-0,sdg,1999
Geep Chryst,Offensive Coordinator,8-8-0,sdg,1999
Joe Pascale,Defensive Coordinator,8-8-0,sdg,2000
Mike Riley,Head Coach,1-15-0,sdg,2000
Mark Banker,Cornerbacks,1-15-0,sdg,2000
Joe Bugel,Offensive Line,1-15-0,sdg,2000
Jim Vechiarella,Linebackers,1-15-0,sdg,2000
Geep Chryst,Offensive Coordinator,1-15-0,sdg,2000
Norv Turner,Offensive Coordinator,1-15-0,sdg,2001
Mike Riley,Head Coach,5-11-0,sdg,2001
Joe Bugel,Offensive Line,5-11-0,sdg,2001
Mark Banker,Defensive Coordinator,5-11-0,sdg,2001
Cam Cameron,Offensive Coordinator,5-11-0,sdg,2002
Pete Carmichael,Offensive Assistant,5-11-0,sdg,2002
Marty Schottenheimer,Head Coach,8-8-0,sdg,2002
Dale Lindsey,Defensive Coordinator,8-8-0,sdg,2002
Cam Cameron,Offensive Coordinator,8-8-0,sdg,2003
Marty Schottenheimer,Head Coach,4-12-0,sdg,2003
Dale Lindsey,Defensive Coordinator,4-12-0,sdg,2003
Pete Carmichael,Offensive Assistant,4-12-0,sdg,2003
Cam Cameron,Offensive Coordinator,4-12-0,sdg,2004
Wade Phillips,Defensive Coordinator,4-12-0,sdg,2004
Pete Carmichael,Offensive Assistant,4-12-0,sdg,2004
Marty Schottenheimer,Head Coach,12-4-0,sdg,2004
Cam Cameron,Offensive Coordinator,12-4-0,sdg,2005
Wade Phillips,Defensive Coordinator,12-4-0,sdg,2005
Pete Carmichael,Offensive Assistant,12-4-0,sdg,2005
Marty Schottenheimer,Head Coach,9-7-0,sdg,2005
Cam Cameron,Offensive Coordinator,9-7-0,sdg,2006
Wade Phillips,Defensive Coordinator,9-7-0,sdg,2006
Rob Chudzinski,Tight Ends,9-7-0,sdg,2006
Marty Schottenheimer,Head Coach,14-2-0,sdg,2006
Steve Crosby,Special Teams,14-2-0,sdg,2007
Clarence Shelmon,Offensive Coordinator,14-2-0,sdg,2007
